name,norad_id,uplink,downlink,beacon,mode,callsign,status,satnogs_id
CAS-4B,42759,,145.890,145.910,4800bps GMSK CW,BJ1SL,active,NGHO-5109-0535-2414-7008
CAS-5A,54684,145.820,435.540,,VHF/UHF SSB bandwidth 30kHz,,active,THLP-9709-3501-8618-5195
CAS-5A,54684,145.925,435.600,,VHF/UHF FM bandwidth 30kHz,,active,THLP-9709-3501-8618-5195
CAS-5A,54684,145.975,435.650,,4k8 GMSK image*data,CAS5A,active,THLP-9709-3501-8618-5195
CAS-5A,54684,,,435.570,UHF_CW,BJ1SO,active,THLP-9709-3501-8618-5195
CAS-5A,54684,21.400,29.490,,HF/HF SSB bandwidth 30kHz,,unknown,THLP-9709-3501-8618-5195
CAS-5A,54684,21.435,435.505,,HF/UHF SSB bandwidth 30kHz,,unknown,THLP-9709-3501-8618-5195
CAS-5A,54684,,,29.465,HF_CW,,unknown,THLP-9709-3501-8618-5195
CAS-5B,,,,435.720,UHF_CW,,to be launched,
CAS-6,44881,435.270-435.290,145.935-145.915,,SSB,,inactive,VMQF-4924-7475-1891-3199
CAS-6,44881,,145.890,,4800bps GMSK,BJ1SO,inactive,VMQF-4924-7475-1891-3199
CAS-6,44881,,145.910,145.910,CW,BJ1SV,active,VMQF-4924-7475-1891-3199
CAS-7A,,21.245-21.275,29.465-29.435,,HF/HF SSB,,to be launched,
CAS-7A,,,,29.425,HF CW,,to be launched,
CAS-7A,,21.3125-21.3275,435.3725-435.3575,,HF/UHF SSB,,to be launched,
CAS-7A,,,,435.430,UHF CW,,to be launched,
CAS-7A,,145.865-145.895,435.415-435.385,,VHF/UHF SSB,,to be launched,
CAS-7A,,,435.480,,4k8 9k6 GMSK telemetry,,to be launched,
CAS-7A,,,10460.000,,1 Mbps GMSK image data,,to be launched,
CAS-7B,44443,145.900,435.690,,VHF/UHF FM,,re-entered,LNZE-6831-5626-0234-4826
CAS-7B,44443,,,435.715,UHF CW,,re-entered,LNZE-6831-5626-0234-4826
CAS-8A,,145.805-145.835,435.540-435.510,,VHF/UHF SSB,,to be launched,
CAS-8A,,,,435.575,UHF CW,,to be launched,
CAS-8A,,,435.735,,4K8 9K6 GMSK telemetry,,to be launched,
CAS-8A,,,2405.100,,4K8 9K6 GMSK telemetry,,to be launched,
CAS-8A,,,2405.100,,192kbps GMSK image data,,to be launched,
CAS-8A,,,2405.300,,Inter-satellite link,,to be launched,
CAS-8B,,145.840-145.870,435.625-435.595,,VHF/UHF SSB,,to be launched,
CAS-8B,,,,435.580,UHF CW,,to be launched,
CAS-8B,,,435.750,,4K8 9K6 GMSK telemetry,,to be launched,
CAS-8B,,,2405.100,,4K8 9K6 GMSK telemetry,,to be launched,
CAS-8B,,,2405.100,,192kbps GMSK image data,,to be launched,
CAS-8B,,,2405.300,,Inter-satellite link,,to be launched,
CAS-8C,,145.875-145.905,435.660-435.630,,VHF/UHF SSB,,to be launched,
CAS-8C,,,,435.585,UHF CW,,to be launched,
CAS-8C,,,435.775,,4K8 9K6 GMSK telemetry,,to be launched,
CAS-8C,,,2405.300,,Inter-satellite link,,to be launched,
CAS-8D,,145.910-145.940,435.695-435.665,,VHF/UHF SSB,,to be launched,
CAS-8D,,,,435.590,UHF CW,,to be launched,
CAS-8D,,,435.800,,4K8 9K6 GMSK telemetry,,to be launched,
CAS-8D,,,2405.300,,Inter-satellite link,,to be launched,
CAS-9,50466,145.855-145.885,435.195-435.165,,VHF/UHF SSB*,,active,WMPC-3806-8308-1122-5138
CAS-9,50466,145.985,435.725,,4k8*GMSK image data,CAS9,active,WMPC-3806-8308-1122-5138
CAS-9,50466,,,435.575,UHF CW*,,active,WMPC-3806-8308-1122-5138
CAS-10,54816,145.870,435.180,,VHF/UHF SSB bandwidth 30kHz,,re-entered,TLZR-1993-2564-0036-4315
CAS-10,54816,,435.725,,4K8 GMSK telemetry,CAS10,re-entered,TLZR-1993-2564-0036-4315
CAS-10,54816,,,435.575,DTMF_camera CW,,re-entered,TLZR-1993-2564-0036-4315
CatSat,60246,,437.185/10470.000,,2k4*/9k6/38k4 FSK,,active,EIOW-0233-5270-5407-2865
CELESTA,53111,,436.500,FX6FRB,1k2AFSK 2k4*/9k6GMSK,,inactive,XKZZ-2829-5729-9508-2566
Centauri-1,43809,,400.625,,9600bps FSK,,inactive,DYBD-8638-9272-8158-5486
Centauri-2,43722,,400.625,,9600bps FSK,,re-entered,UESS-5249-7079-4000-7571
Centauri-3,47966,,400.180,,9600bps FSK,FLEF1N,active,ZJER-5082-9774-9829-7564
Centauri-4,48898,,400.180,,9600bps FSK,FLEF2N,re-entered,AXQA-7364-6026-4427-9296
Centauri-5,52742,,400.180,,9600bps FSK,FLEF3N,active,PWFW-2275-1349-5417-9753
Centauri-6,59451,,400.180,,9600bps FSK,FLEF4N,active,LSZL-5040-6372-8930-2241
Challenger,42721,,437.510,,9600bps GMSK,QBUS01,re-entered,WWFS-5618-7245-9667-1046
Challenger,51073,,401.300,,2400bps AFSK,,inactive,
CHAMRAN-1,61072,,436.740,,38400bps FSK,,inactive,YZJO-4477-2768-8369-0049
ChargerSat-1,39405,,437.405,,9600bps FSK,,re-entered,ILFI-5093-5072-3892-5139
Chasqui-1,40117,,437.025,,1k2AFSK/9k6GMSK,,inactive,
CHOMPTT,43855,,437.560,,1k2*AFSK/9k6GMSK,WI2XVT,re-entered,GYLI-0056-5213-2621-8146
ChubuSat-1,40300,145.980,437.485,437.485,1200bps 9600bps CW,JJ2YJY,inactive,
ChubuSat-2,41338,145.815,437.100,437.102,1k2 AFSK 9k6 GMSK CW,JJ2YPN,inactive,VUBS-5290-2027-7355-7261
ChubuSat-3,41339,145.840,437.425,437.424,1k2 AFSK 9k6 GMSK CW,JJ2YPO,inactive,SNUE-9194-2671-9117-0557
CIRBE,56188,,437.250/2402.000,,9k6*/19k2 GFSK,CIRBE,re-entered,PBLF-9792-3382-3546-2243
ClarkSat-1,58613,,435.130,435.130,4k8_GMSK Digitalker SSTV CW,JS1YLT,re-entered,KYBX-1862-6587-7549-6363
CLICK-A,,,,,,,unknown,
Cliff,43770,435.300/1267.300,145.920,145.920,FM CTCSS 67.0Hz/200bps DUV,,inactive,KHIK-6754-7801-4022-8938
CNUSail-1,43133,,437.100,,9600bps GMSK,,unknown,WQDE-2540-1175-6859-2485
Colibri-S,61746,,436.835,436.835,9600bps GFSK CW*,RS67S,active,OVBN-0332-6282-0409-5232
Columbia,42702,,437.055,,9600bps GMSK,KD8CJT,inactive,AMQV-8272-4458-8097-5541
COMPASS-1,32787,,437.405,437.275,1200bps AFSK CW,DP0COM,inactive,CCSK-6056-3870-4454-6798
COMPASS-2,42777,,437.300/2403.000,,1200bps AFSK,,re-entered,KLQH-2831-9809-0755-5637
ConnectaIoT-1,60472,,401.510,,4800bps GMSK,CNT001,active,DHAI-1690-5774-0137-6112
ConnectaIoT-2,60522,,401.520,,4800bps GMSK,CNT002,active,XALK-4525-5943-5013-3699
ConnectaIoT-3,60475,,401.530,,4800bps GMSK,CNT003,active,BEFZ-9879-2316-3685-3950
ConnectaIoT-4,60524,,401.540,,4800bps GMSK,CNT004,active,QMTG-4209-6674-7825-1293
ConnectaIoT-5,,,401.510,,4800bps GMSK,CNT005,active,
ConnectaIoT-6,,,401.520,,4800bps GMSK,CNT006,active,
ConnectaIoT-7,,,401.530,,4800bps GMSK,CNT007,active,
ConnectaIoT-8,,,401.540,,4800bps GMSK,CNT008,active,
Connecta-T1_1,52739,,401.525,,9600bps GMSK,CONT11,active,RLGA-3050-8635-4193-2562
Connecta-T1_2,55012,,401.525,,4800bps GFSK,CONT12,active,TVZK-1463-5590-8994-0377
Connecta-T2.1,56210,,401.525,,9600bps GMSK,CONT21,active,RYJB-2072-5322-3255-6402
Connecta-T3.1,58256,,401.525/401.510*/2071.000/2240.000,,4k8*/9k6 GMSK,CONT31,active,IMJX-7102-0140-6430-7844
Connecta-T3.2,58268,,401.525/401.540*/2071.000/2240.000,,4k8*/9k6 GMSK,CONT32,active,ZAVF-3403-5726-0559-1255
ContecSat-1,59117,,2220.000,,FM,,unknown,LOCF-3327-7028-4700-0103
COPPER,39395,,2403.000-2403.400,437.290,9600bps FSK,,re-entered,ZKYN-9221-2374-5641-3454
CORVUS-BC2,42846,,400.175,,FM,,inactive,PEOD-7224-7918-2978-4352
CORVUS-BC1,42847,,400.175,,FM,,inactive,KPZZ-0499-2351-6546-5973
CosmoGirl-Sat,60953,145.825,145.825/437.120,437.120,1k2AFSK 4k8GMSK APRS CW*,JS1YOI,re-entered,UKHU-7340-5378-6404-2316
Cosmos-2576,59773,,,,,,unknown,
CO-55,27844,,437.470,436.838,1200bps AFSK CW*,JQ1YCY,active,JOVH-8612-8312-2052-1559
CO-56,28941,,437.505,437.382,1200bps AFSK,JQ1YPC,re-entered,
CO-56,28941,1268.500,437.505,437.382,9600bps GMSK,,re-entered,
CO-57,27848,,437.490,436.848,1200bps AFSK CW*,JQ1YCW,active,KZUI-4275-4790-4963-1514
CO-58,28895,,437.345,437.465,1200bps AFSK CW*,JQ1YGW,active,IYDL-1832-4040-0556-1587
CO-65,32785,,437.475,437.275,1200bps AFSK CW*,JQ1YTC,active,SRMQ-6676-8759-6509-8693
CO-65,32785,1267.600,437.475,,9600bps GMSK,JQ1YTC,inactive,SRMQ-6676-8759-6509-8693
CO-66,32791,,437.485,437.485,1k2AFSK CW* DigiTalker,JQ1YGU,active,WLHF-1710-4037-0881-2319
CO-77,39577,,437.200,437.325,1k2AFSK DigiTalker CW,JQ1ZKK,re-entered,
CPOD-FLT1,52772,,401.180,,FM,,inactive,QWMK-0823-5373-1250-4835
CP-1,,,436.845,,15bps DTMF,,failure,
CP-2,,,437.325,,1200bps AFSK,,failure,
CP-3,31129,,436.845,,1200bps AFSK,,inactive,
CP-4,31132,,437.325,437.325,1200bps SSB CW,N6CP,inactive,
CP-5,38763,,437.405,437.405,1200bps AFSK CW,CP5,inactive,UNZB-2386-5150-4677-7350
CP-6,35003,,437.365,437.365,1200bps AFSK CW,N6CP,inactive,
CP-7,43615,,437.150,437.150,9600bps FSK CW,WI2XNR-1,re-entered,MUDL-3446-6586-9825-4790
CP-8,39471,,437.270,437.270,9600bps GMSK CW,KJ6KSL-1,inactive,IMUE-5672-2044-2610-5888
CP-9,44360,,437.505,,9k6*/19k2/38k4 FSK,KJ6RQH-1,re-entered,RDRK-2196-1112-4228-3474
CP-10,40380,,437.270,437.270,9600bps FSK CW,KK6HGC XO3,re-entered,CFJB-2077-3855-6332-8459
CP-11,43856,,437.150,437.150,9600bps FSK CW,,inactive,WSKN-9493-7628-4683-4260
CP-12,47319,,437.150,437.150,9600bps FSK CW,KK6HIT,re-entered,PRVO-2434-7302-8951-3277
CroCube,,,436.775,,9600bps GFSK,9A0CC,unknown,
CryoCube-1,45260,2082.004,2261.000,,,,re-entered,
CSC-1,58022,,401.175,,1200bps BPSK,CSC1,active,CNPX-5092-5371-0749-4265
CSC-2,58021,,401.250,,1200bps BPSK,CSC2,active,PONC-2290-8188-0010-0245
CSIM-FD,43793,,437.250,,9k6*/19k2 GMSK,CSIM,active,CKMD-9513-1025-4842-0352
CSS,48274,435.06839,145.98723,,FM,,unknown,AYDR-6527-9294-8555-4924
CSS,48274,145.850,145.985,,NFM Crew Voice,,unknown,AYDR-6527-9294-8555-4924
CSS,48274,435.050,436.510,,NFM Crew Voice,,unknown,AYDR-6527-9294-8555-4924
CSS,48274,145.875,436.510,,NFM Repeater,,unknown,AYDR-6527-9294-8555-4924
CSS,48274,435.075,145.985,,NFM Repeater,,unknown,AYDR-6527-9294-8555-4924
CSS,48274,145.825,145.825,,1k2_AFSK Digipeater,,unknown,AYDR-6527-9294-8555-4924
CSS,48274,437.550,437.550,,1k2_AFSK Digipeater,,unknown,AYDR-6527-9294-8555-4924
CSS,48274,145.850,145.985,,SSTV Imaging,,unknown,AYDR-6527-9294-8555-4924
CSS,48274,435.050,436.510,,SSTV Imaging,,unknown,AYDR-6527-9294-8555-4924
CSS,53239,,,,,,inactive,
CSS,54216,,,,,,inactive,
CSSWE,38761,,437.349,,9600bps GMSK,CSSWE7,inactive,MQNS-3492-8312-7376-9692
CSTB-1,31122,,400.038,,1200bps AFSK,,inactive,
CSTP-1.1,57202,,436.075,,LoRa,,active,CGZW-4770-7854-7332-3001
CSTP-1.2,57186,,436.270,,LoRa,,active,OEVP-0911-2494-4510-3616
CSTP-2.1,61777,,437.485,,LoRa,,unknown,
CSTP-2.11,61774,,437.985,,LoRa,,unknown,ZBVE-3642-7824-0324-5322
CSTP-2.2,61775,,437.985,,LoRa,,unknown,
CSUNSat1,42715,,437.400,437.400,9600bps GMSK CW,CSUNSAT1,re-entered,
CTC-0,,,401.500,,9600bps GFSK,WX9XKR,unknown,
CTIM-FD,52950,,437.250,,9600bps GFSK,,re-entered,CSGC-5605-1718-3109-5402
CUAVA-1,49275,145.875/2404.000,437.075/2440.000,,9600bps GMSK,,re-entered,NGTB-2644-7604-9336-6059
CUAVA-1,49275,5660.000/76.750GHz,5840.000/76.750GHz,,9600bps GMSK,,re-entered,NGTB-2644-7604-9336-6059
CUAVA-2,60527,,400.650,,1200bps BPSK,VK2USY,unknown,QKJA-9333-9603-3019-1322
CubeBel-1,43666,436.200,436.990,,4k8/9k6* GMSK Digipeater,EU10S,re-entered,WMQB-0532-9164-6364-5821
CubeBel-2,57175,436.200,436.990,,4k8/9k6* GMSK Digipeater,EU11S,active,PIHV-8715-3112-5892-6258
CubeBug-1,39153,,437.445,437.438,1200bps AFSK,CUBEB1,inactive,HXCH-9043-9893-2952-4877
CubeBug-2,39440,,437.445,,1k2AFSK 9k6* FSK,CUBEB2-6,active,MRQX-2618-0103-4345-3937
CUBEL,47448,,400.575,,9600bps MSK,,active,HGYE-7318-8290-9065-4147
CubeSail-1/2,43851,,437.305/437.505,,9600bps GMSK,,re-entered,
CubeSX-HSE-1,47952,,435.650/10455.000,,9k6FSK/DVB-S2,RS13S,active,VIJX-4340-5912-4059-7483
CubeSX-HSE-2,53383,,435.570,,2400bps GMSK_USP,RS21S,active,KILB-3720-6406-0699-8042
CubeSX-HSE-3,57178,,436.570,,2k4/4k8*/9k6 GMSK_USP,RS42S,active,UMPN-9044-0154-0093-6402
CubeSX-Sirius-HSE,47951,,437.050/10465.000,,2k4/9k6* FSK/DVB-S2,RS14S,active,MNRU-6903-8394-5454-9425
CUNYSAT-1,39470,,437.505,437.505,9600bps GMSK CW,,inactive,
CuPID,49264,,400.500,,38k4 GFSK,,inactive,
CURIE-A/B,60241,,916.000,2395.000,87k GFSK,,unknown,
CURIUM-ONE,60242,,436.240,,50k GMSK,,unknown,FOLU-4370-1786-3583-3279
CURTIS,59507,,2279.000,400.962,FM CW*,,re-entered,JLCL-0710-4090-6907-9407
CUSat-1,39266,,437.405,,1200bps AFSK,BOTTOM,inactive,
CUSat-2,39271,,437.485,,1200bps AFSK,WG2XTI,inactive,
CUTE,49263,,437.250/2402.000,,9k6*/19k2GMSK 1MbpsBPSK,CUTE,active,YMFQ-1347-4330-8510-2436
CUTE-I,27844,,437.470,436.838,1200bps AFSK CW*,JQ1YCY,active,JOVH-8612-8312-2052-1559
CUTE-1.7,28941,,437.505,437.382,1200bps AFSK,JQ1YPC,re-entered,
CUTE-1.7,28941,1268.500,437.505,437.382,9600bps GMSK,,re-entered,
CUTE1.7+APDII,32785,,437.475,437.275,1200bps AFSK CW*,JQ1YTC,active,SRMQ-6676-8759-6509-8693
CUTE1.7+APDII,32785,1267.600,437.475,,9600bps GMSK,JQ1YTC,inactive,SRMQ-6676-8759-6509-8693
CXBN,38762,,437.525,,9600bps GFSK,,inactive,
CXBN-2,42704,,437.075,,9600bps FSK,,re-entered,
CYCLOPS,53373,,436.050,,2400bps GMSK_USP,RS29S,re-entered,YYOS-0902-7582-8175-2841
CySat-1,61501,,436.375,,9600bps FSK,,inactive,PFNX-8665-0995-8682-5956
D3,53769,,437.080/2432.000,,1k2AFSK 9k6GMSK,,unknown,
DAILI,51443,,914.700,,FM,,re-entered,ZTNW-3837-0912-0267-8403
DANDE,39267,,436.750,436.750,9600bps GMSK,DANDE-2,inactive,
DANTESAT,55127,,437.600,,9600bps FSK,,re-entered,
DAVE,43615,,437.150,437.150,9600bps FSK CW,WI2XNR-1,re-entered,MUDL-3446-6586-9825-4790
DaVinci,43857,145.100,436.500,,9600bps GMSK,,re-entered,NDGB-5161-5512-0236-5364
DCBB,40912,,145.475*/437.950,,9k6* GMSK,BJ1SH,re-entered,MUJZ-6655-6182-7273-3855
Deimos,60526,,400.300,,9600bps GMSK,,unknown,IYTF-0254-0953-7251-9719
DEKART,46493,,437.000,,4800bps mobitex,,active,LBLF-9256-3450-0417-4224
DELFI-C3,32789,,145.870,,1200bps BPSK,DLFIC3,active,TNXT-1653-3073-9102-5159
DELFI-C3,32789,435.530-435.570,145.920-145.880,145.930,SSB CW,DLFIC3,inactive,TNXT-1653-3073-9102-5159
Delfi-n3Xt,39428,,145.870/145.930,2405.000,2400bps BPSK MSK,,inactive,LDFA-5547-3453-6167-7352
Delfi-n3Xt,39428,435.530-435.570,145.880-145.920,,SSB,,inactive,LDFA-5547-3453-6167-7352
Delfi-PQ,51074,,436.650,,1k2*/2k4/19k2 FSK,DLFIPQ,re-entered,CEIC-4073-2863-5971-9670
Delphini-1,44030,,437.500,,1k2-9k6* GMSK,,re-entered,FCSZ-8739-3200-7406-9928
DENDEN-01,62297,,922.000,,1kpbs PCM-PSK-PM/10 32 64 115kbps BPSK,,unknown,
DeorbitSail,40719,,145.975,,1200bps BPSK,DOS,inactive,LXTN-3112-4423-0306-4983
DESCENT,46927,,435.775,,19k34 GMSK,,re-entered,CHXD-7974-3688-3986-7840
DESPATCH,40321,,437.325,437.325,CW,JQ1ZNN,deep space,
DEWASat-1,50989,,401.500,,FM,,inactive,VNEP-7767-9055-3195-4316
DEWASat-2,56180,,401.100,,2k4 FSK,,active,CUBE-8122-6984-5413-0457
DHABISAT,49017,,436.908,,1200bps BPSK,A68MX,active,FXJU-1542-5342-0390-1271
DIDO-2,42000,,400.300,,1200bps BPSK,DIDO2,re-entered,ANTS-7659-6853-4378-3829
DIDO-3,46284,,400.450,,1200bps BPSK,DIDO-3,active,UTVH-8269-9182-3451-8658
Diwata-2,43678,437.500,145.900,145.900,FM* tone 141.3Hz CW,D1W2PH,active,HIEK-3729-5596-2727-4744
DIY-1,47963,,437.125,437.125,100bdRTTY 500*bdFSK CW,CONDOL,re-entered,UVHJ-3379-3188-8525-8707
DJIBOUTI-1A,58266,,401.800,,2400bps FSK,DJIB1A,active,ZUPC-4545-0225-3537-3322
Djibouti-1B,,,401.800,,2400bps FSK,DJIB1B,unknown,
Dodona,51084,,401.500,,19200bps GFSK,,unknown,FWFR-1086-4147-8825-4245
DORA,61502,,436.825,,7400bps FSK,,re-entered,QZRL-4914-4557-2700-9931
DOSAAF-85,44909,145.935-145.995,435.670-435.610,435.605,SSB CW,RS44,active,UFYD-5782-6372-2920-6054
Dove-1/2,39143,,145.825,2420.000,1200bps AFSK,,re-entered,
Dove-3,39429,,,,,,non-amateur,
Dove-4,39434,,,,,,non-amateur,
DO-17,20440,,145.825,2401.220,1200bps AFSK,DOVE-1,inactive,
DO-64,32789,,145.870,,1200bps BPSK,DLFIC3,re-entered,TNXT-1653-3073-9102-5159
DO-64,32789,435.530-435.570,145.920-145.880,145.930,SSB CW,DLFIC3,re-entered,TNXT-1653-3073-9102-5159
DO-111,47963,,437.125,437.125,50/100*bdRTTY 500bdFSK CW,,re-entered,UVHJ-3379-3188-8525-8707
DRAGONSat,35690,,436.250,,19200bps FSK,,re-entered,
DRAGONSat,35690,,437.325,,9600bps FSK,,re-entered,
DragonSat-1,39383,,145.870,,9600bps FSK,,re-entered,ZDHX-1438-9792-0063-7767
DragSail,42771,,437.300/2403.000,,1200bps AFSK,,inactive,
Druzhba-ATURK,,,,,,,unknown,
DSLWP-A1(A),43471,,435.425/2222.810,436.425,500/250bps GMSK JT4G,BJ1SM,inactive,
DSLWP-A2(B),43472,,435.400/2275.220,436.400,500/250bps GMSK JT4G,BJ1SN,re-entered,
DTUsat-1,27842,,,437.475,2400bps AFSK CW,OZ2DTU,inactive,
DTUsat-2,40030,1268.900,2401.835,2401.860*,9k6CPFSK/1k2 19k2 38k4MSK CW*,OZ2DTU,inactive,VLOV-4213-3168-9454-2191
Duchifat-1,40021,435.220,145.825/145.980,145.980,1200bps BPSK CW,4X4HSL,active,KVVP-7917-6314-8782-3778
Duchifat-3,44854,145.970,436.400,,FM/APRS/9k6BPSK,4H4HSL-1,inactive,YXQQ-6207-4287-8188-9048
DUTHSat,42724,,436.420,,1200bps BPSK,SZ2DUT,re-entered,WGJS-9308-0078-0270-6632
DX-1,40071,144.975-145.025,434.975-435.025,438.225,9600bps GFSK,DAURIA,inactive,HKKU-3815-5674-8886-1697
D-SAT,42794,,437.505,437.505,4800bps GMSK CW,U1-DSAT-U1,inactive,XTNS-4103-2413-3501-2578
D-Star ONE,,437.325,435.525/435.700,,D-Star Telemetry,,failure,
D-Star ONE EXOCONNECT,44410,,435.700,,4k8*/9k6 GMSK,,re-entered,
D-Star ONE iSat,43879,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP2GOS,active,VLTM-4130-8711-4931-9078
D-Star ONE LightSat,44393,,435.700*/436.500,,4k8*/9k6 mobitex GMSK,,re-entered,BHTH-8781-5917-5607-8999
D-Star ONE Phoenix,43188,437.325,435.525,,D-Star Telemetry,DP1GOS,inactive,MCHL-8693-9902-0813-2147
D-Star ONE Sparrow,43881,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP1GOS,active,QTXY-8933-7836-7484-6250
E1P,,437.305,437.505,,1200bps AFSK,,failure,
E1P-U2,37855,,437.493,,1k2AFSK_USB,,re-entered,GTMF-2365-6960-5386-3224
Eagle-1,39437,,437.465,,9600bps GFSK,,inactive,
Eagle-2,39436,,437.505,437.505,9600bps GFSK RTTY CW,,re-entered,ZGDU-9244-7828-7079-5280
EagleSat-1,43018,,437.645,,1200bps AFSK,,inactive,GPCS-5280-8824-7420-8704
Eaglet-1,43790,,435.200/435.800,,1200bps,,non-amateur,NMSF-0466-6077-1186-9611
EASAT-2,51081,145.875,436.666,436.666,1k2/2k4 AFSK APRS FM CW,AM5SAT,re-entered,SNOW-5949-8363-0807-9869
EcAMSat,43019,,437.095,,1200bps AFSK,KE6QLL,re-entered,AHTJ-2968-9777-7716-2636
Ecuador-UTE,44419,,437.050,437.050,CW,,unknown,FLRT-9057-4077-2524-9105
EDGECUBE,45124,,437.465,,1200bps FSK,,re-entered,
EDSN 1-8,,,2401.200-2431.200,437.100,1200bps AFSK,,failure,
EduSat-1,42824,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJR,re-entered,
EGG,41934,,437.200,,1200bps AFSK,,re-entered,EAAO-8745-7217-6703-0963
Egycubesat-1,44792,,437.970,437.970,CW,,inactive,
Egycubesat-2,44718,,437.974,437.974,CW,,unknown,
EIRSAT-1,58472,,437.100,,9600bps GMSK,,active,HKNJ-5808-9467-1239-6592
ELFIN-A,43617,,437.450,,9k6*/19k2 GFSK,WJ2XNX,re-entered,JSEY-1831-4025-6206-5301
ELFIN-B,43616,,437.475,,9k6*/19k2 GFSK,WJ2XOX,re-entered,JQOK-1219-5774-2073-2907
ELLIOT,,,,,,,unknown,
EMMA,60953,145 825,145 825/437.120,437.120,1k2AFSK 4k8GMSK APRS CW*,JS1YOI,re-entered,UKHU-7340-5378-6404-2316
EnduroSat One,43551,,437.050,437.050,9600bps GMSK Music,LZ0AMS,re-entered,OYTI-8726-8857-0789-4716
ENSO,58470,,436.250,,2k4/9k6*FSK,FX6FRC,active,OBZD-9153-9709-2837-1280
EntrySat,44429,,436.950,,9600bps BPSK,ON02FR,re-entered,XJEY-1734-2475-9790-3893
EOSSAT-1,55053,,2245.000,,FM,,unknown,
EOS-07,55562,,145.825,,1k2AFSK APRS,A55BTN,active,NLUY-5633-4354-5527-8129
EOS-08,60454,,145.825,,1200bps AFSK,,unknown,
EO-79,40025,435.047-435.077,145.965-145.935,145.815,1200bps BPSK CW SSB,QB50P1,inactive,GJDY-0208-2030-6329-7076
EO-80,40032,435.080,145.880/145.840,145.880,1200bps BPSK CW FM,QB50P2,inactive,HHWQ-8145-7306-2252-6043
EO-88,42017,435.015-435.045,145.990-145.960,145.940,1200bps BPSK SSB,,re-entered,SVPP-9764-1942-2462-5319
EPICHyper-3,,,,,,,unknown,
EQUISat,43552,,435.550,435.550,4k8*/9k6 4LFSK CW LED,,re-entered,SABJ-3457-7659-3993-3753
ERMINAZ-1U,,,435.775,,9k6-19k2 GFSK GMSK QPSK,,to be launched,
ERMINAZ-1V,,,145.965,,9k6-19k2 GFSK GMSK QPSK,,to be launched,
ERNST,60528,,401.100,,4800bps FSK,,unknown,OZFM-4525-5507-9609-6820
ESAIL,46273,,,,,,unknown,
ESEO,43792,1263.500,145.930/145.895,437.000*,FM 1k2BPSK 4k8*/9k6GFSK,IW4DUL,inactive,SEXU-2964-9908-3979-4793
Essence,57316,437.325,435.775,,,,re-entered,
ESTCube-1,39161,,437.505/2401.250,437.254,9600bps GFSK CW,ES5E-11 ES5E/S,inactive,PPAK-3897-6161-8267-9600
ESTCube-2,,,435.800,,9600bps GFSK,ES5EC,re-entered,
ESTELLE,,,U S-band 5.8GHz,,1Mbps-10Mbps GFSK BPSK,,unknown,
Es'Hail-2,43700,2400.050-2400.300,10489.550-10489.800,,Linear  transponder,,active,LBQI-9987-6865-3928-8294
Es'Hail-2,43700,2401.500-2409.500,10491.000-10499.000,,Digital transponder,,unknown,LBQI-9987-6865-3928-8294
ExAlta-1,42734,,436.705,,4k8*/9k6/19k2 GMSK,ON03CA,re-entered,KMVK-3551-1511-0480-9469
ExAlta-2,56313,,437.875/2428.000,,9600bps FSK,,re-entered,
ExoCube-1,40380,,437.270,437.270,9600bps FSK CW,KK6HGC XO3,re-entered,CFJB-2077-3855-6332-8459
ExoCube-2,47319,,437.150,437.150,9600bps FSK CW,,re-entered,PRVO-2434-7302-8951-3277
EXO-0,59175,,401.360,,4800bps GMSK,EXO000,active,TCKS-3322-7921-4714-6406
ExseedSat-1,43775,435.340,145.900,,FM CTCSS 67.0Hz,,inactive,
e-kagaku-1,,,145.840,,1k2AFSK 9K6GMSK,,to be launched,
E-ST@R,38079,,437.445,,1200bps AFSK,E-STAR-I,re-entered,
E-ST@R-II,41459,,437.485,437.485,1200bps AFSK CW,E-STAR-II,inactive,XSLX-3508-6230-4322-9880
FacSat-1,43721,,437.350,,9600bps MSK,,re-entered,EKKN-6409-4479-1170-0607
FacSat-2,56205,,437.350,,9k6 GMSK,,unknown,SLUI-1545-4376-6534-9457
FalconSAT-3,30776,145.840,435.103,,9600bps GMSK,PFS3-11 12,re-entered,XKYJ-4339-8214-6490-1978
FalconSAT-X,,,,,,,unknown,
FASTRAC-1,37227,145.825,437.345,,1200bps AFSK,FAST1,inactive,
FASTRAC-1,37227,145.980,437.345,,9600bps FSK,FAST1,inactive,
FASTRAC-2,37380,435.025,145.825,,1200bps AFSK,FAST2,inactive,
FASTRAC-2,37380,437.345,145.825,,9600bps FSK,FAST2,inactive,
FCAL,29667,,437.385,,1200bps AFSK,KD4HBO,re-entered,
FEES,48082,,437.200,,9600bps FSK/LoRa,,re-entered,FXHJ-9671-3244-3623-7704
FEES-2,51441,,145.000/437.200*,,9600bps FSK 125k LoRa*,,re-entered,
FIREBIRD-1,39463,,437.405,,19200bps FSK,K7MSU,inactive,PIQA-7850-4787-3437-4933
FIREBIRD-2,39464,,437.230,,19200bps FSK,K7MSU,inactive,FAPD-5101-4024-2322-5857
